STOCK|CODE
Brawn Biotech Ltd|BOM530207
Bridge Securities Ltd|BOM530249
Brigade Enterprises Ltd|BOM532929
Bright Brothers Ltd.-$|BOM526731
Brijlaxmi Leasing & Finance Ltd|BOM532113
Brilliant Portfolios Ltd|BOM539434
Britannia Industries Ltd|BOM500825
Broadcast Initiatives Ltd|BOM532816
Bronze Infra-tech Ltd|BOM534731
Brooks Laboratories Ltd|BOM533543
Brushman (india) Ltd.-$|BOM590061
Bs Ltd|BOM533276
Bsel Infrastructure Realty Ltd|BOM532123
Bsl Ltd|BOM514045
Budge Budge Company Ltd|BOM538789
Burnpur Cement Ltd|BOM532931
Butterfly Gandhimathi Appliances Ltd|BOM517421
Bwl Ltd|BOM504643
C & C Constructions Ltd|BOM532813
C. Mahendra Exports Ltd|BOM533304
C.j.gelatine Products Ltd|BOM507515
Cable Corporation Of India Ltd|BOM500077
Cadila Healthcare Ltd|BOM532321
Cairn India Ltd|BOM532792
Calcom Vision Ltd|BOM517236
California Software Co.ltd|BOM532386
Cals Refineries Ltd|BOM526652
Cambridge Technology Enterprises Ltd|BOM532801
Camex Ltd|BOM524440
Camlin Fine Sciences Ltd|BOM532834
Camphor & Allied Products Ltd.-$|BOM500078
Camson Bio Technologies Ltd|BOM538858
Camson Bio Technologies Ltd-$|BOM590076
Can Fin Homes Ltd|BOM511196
Canara Bank|BOM532483
Canopy Finance Ltd|BOM539304
Cantabil Retail India Ltd|BOM533267
Capfin India Ltd|BOM539198
Capital First Ltd|BOM532938
Capital Trade Links Ltd|BOM538476
Capital Trust Ltd|BOM511505
Caplin Point Laboratories Ltd|BOM524742
Capman Financials Ltd|BOM511720
Capri Global Capital Limited|BOM531595
Capricorn Systems Global Solutions Ltd|BOM512169
Caprihans India Ltd.-$|BOM509486
Caprolactam Chemicals Ltd|BOM507486
Captain Pipes Ltd|BOM538817
Captain Polyplast Ltd|BOM536974
Carborundum Universal Ltd|BOM513375
Career Point Ltd|BOM533260
Carewell Industries Ltd|BOM538579
Carnation Industries Ltd|BOM530609
Castex Technologies Ltd-$|BOM532282
Castrol India Ltd|BOM500870
Cat Technologies Ltd|BOM531682
Catvision Limited|BOM531158
Ccl International Ltd|BOM531900
Ccl Products (india) Ltd|BOM519600
Ccs Infotech Ltd|BOM532405
Cdr Health Care Ltd|BOM523353
Ceat Ltd|BOM500878
Ceejay Finance Ltd|BOM530789
Ceenik Exports (india) Ltd|BOM531119
Ceeta Industries Ltd|BOM514171
Celebrity Fashions Ltd|BOM532695
Celestial Biolabs Limited|BOM532871
Cenlub Industries Ltd|BOM522251
Centenial Surgical Suture Ltd|BOM531380
Centerac Technologies Ltd|BOM531621
Central Bank Of India|BOM532885
Central Provinces Railways Co.ltd|BOM501827
Centron Industrial Alliance Ltd|BOM509499
Centrum Capital Ltd|BOM501150
Centum Electronics Ltd|BOM517544
Century Enka Ltd|BOM500280
Century Extrusions Ltd|BOM500083
Century Plyboards (i) Ltd.-$|BOM532548
Century Textiles & Industries Ltd|BOM500040
Century Twentyfirst Portfolio Ltd|BOM530881
Cera Sanitaryware Ltd|BOM532443
Cerebra Integrated Technologies Ltd|BOM532413
Ces Limited|BOM512341
Cesc Ltd|BOM500084
Cfl Capital Financial Services Ltd|BOM511272
Cg-vak Software & Exports Ltd|BOM531489
Chaman Lal Setia Exports Ltd.-$|BOM530307
Chambal Breweries & Distilleries Ltd|BOM512301
Chambal Fertilisers & Chemicals Ltd|BOM500085
Champion Finsec Ltd|BOM504367
Chanakya Investments Ltd|BOM501270
Chandni Textiles Engineering Ind. Ltd|BOM522292
Chandra Prabhu International Ltd.-$|BOM530309
Channel Nine Entertainment Ltd|BOM535142
Charms Industries Ltd|BOM531327
Chartered Capital & Investment Ltd|BOM511696
Chartered Logistics Ltd|BOM531977
Chase Bright Steel Ltd|BOM504671
Chd Developers Ltd.-$|BOM526917
Chembond Chemicals Ltd.-$|BOM530871
Chemfab Alkalis Ltd|BOM506894
Chemiesynth (vapi) Ltd|BOM539230
Chemo Pharma Laboratories Ltd|BOM506365
Chemtech Industrial Valves Ltd|BOM537326
Chennai Ferrous Industries Ltd|BOM539011
Chennai Meenakshi Multispeciality Hospital Ltd.-$|BOM523489
Chennai Petroleum Corporation Ltd|BOM500110
Cheslind Textiles Ltd|BOM521056
Cheviot Co.ltd.-$|BOM526817
Chhattisgarh Industries Ltd|BOM530495
Chitradurga Spintex Ltd|BOM521244
Chl Ltd|BOM532992
Choice International Ltd|BOM531358
Chokhani Securities Ltd|BOM511742
Choksi Imaging Ltd|BOM530427
Choksi Laboratories Ltd|BOM526546
Cholamandalam Investment And Finance Company Ltd|BOM511243
Chordia Food Products Ltd|BOM519475
Chowgule Steamships Ltd|BOM501833
Chpl Industries Ltd|BOM539335
Chromatic India Ltd|BOM530191
Cigniti Technologies Ltd|BOM534758
Cil Nova Petrochemicals Ltd|BOM533407
Cil Securities Ltd|BOM530829
Cimmco Ltd|BOM505230
Cindrella Financial Services Ltd|BOM531283
Cindrella Hotels Ltd.-$|BOM526373
Cineline India Limited|BOM532807
Cinemax India Ltd|BOM534711
Cinerad Communications Ltd|BOM530457
Cinevista Ltd|BOM532324
Cipla Ltd|BOM500087
Circuit Systems (india) Ltd|BOM532913
Cistro Telelink Ltd|BOM531775
Citadel Realty And Developers Ltd|BOM502445
Citiport Financial Services Ltd|BOM531235
Citizen Infoline Ltd|BOM538786
Citizen Yarns Ltd|BOM514366
City Online Services Ltd|BOM538674
City Union Bank Ltd|BOM532210
Cityman Ltd|BOM521210
Clariant Chemicals (india) Ltd|BOM506390
Claris Lifesciences Ltd|BOM533288
Classic Diamonds (india) Ltd|BOM523200
Classic Electricals Ltd|BOM512213
Classic Global Finance & Capital Ltd|BOM538433
Clio Infotech Ltd|BOM530839
Clutch Auto Ltd.-$|BOM505052
Cmc Ltd|BOM517326
Cmi Fpe Ltd.-$|BOM500147
Cmi Ltd|BOM517330
Cni Research Ltd|BOM512018
Coal India Ltd|BOM533278
Coastal Corporation Ltd|BOM501831
Coastal Roadways Ltd|BOM520131
Cochin Malabar Estates & Industries Ltd|BOM508571
Cochin Minerals & Rutile Ltd.-$|BOM513353
Coffee Day Enterprises Ltd|BOM539436
Colgate-palmolive (india) Ltd|BOM500830
Colinz Laboratories Ltd|BOM531210
Combat Drugs Ltd|BOM524752
Comfort Commotrade Ltd|BOM534691
Comfort Fincap Ltd|BOM535267
Comfort Intech Ltd.-$|BOM531216
Commercial Engineers & Body Builders Co. Ltd|BOM533272
Commex Technology Limited|BOM532342
Compact Disc India Ltd|BOM526141
Competent Automobiles Co.ltd|BOM531041
Compuage Infocom Ltd|BOM532456
Compucom Software Ltd.-$|BOM532339
Computer Point Ltd|BOM507833
Conart Engineers Ltd.-$|BOM522231
Concord Drugs Ltd|BOM538965
Concrete Credit Ltd|BOM539266
Confidence Finance And Trading Limited|BOM504340
Confidence Petroleum India Ltd|BOM526829
Consecutive Investment & Trading Company Ltd|BOM539091
Consolidated Construction Consortium Ltd|BOM532902
Container Corporation Of India Ltd|BOM531344
Contil India Ltd|BOM531067
Continental Controls Ltd|BOM531460
Continental Petroleums Ltd|BOM523232
Continental Securities Ltd|BOM538868
Control Print Ltd.-$|BOM522295
Coral India Finance & Housing Ltd|BOM531556
Coral Laboratories Ltd|BOM524506
Cords Cable Industries Ltd|BOM532941
Core Education & Technologies Ltd|BOM512199
Coromandel Agro Products & Oils Ltd|BOM507543
Coromandel Engineering Company Ltd|BOM533167
Coromandel International Ltd|BOM506395
Corporate Courier And Cargo Ltd|BOM526737
Corporation Bank|BOM532179
Cosboard Industries Ltd|BOM530859
Cosco (india) Ltd.-$|BOM530545
Cosmo Ferrites Ltd.-$|BOM523100
Cosmo Films Ltd|BOM508814
Cosyn Ltd|BOM538922
Country Club Hospitality & Holidays Ltd|BOM526550
Country Condo's Ltd|BOM531624
Coventry Coil-o-matic (haryana) Ltd|BOM523415
Covidh Technologies Limited|BOM534920
Cox & Kings Limited|BOM533144
Crane Infrastructure Ltd|BOM538770
Cranes Software International Ltd|BOM512093
Cranex Ltd|BOM522001
Cravatex Ltd|BOM509472
Crazy Infotech Ltd|BOM524388
Creative Eye Ltd|BOM532392
Creative Merchants Ltd|BOM538504
Credit Analysis And Research Ltd|BOM534804
Crescent Leasing Ltd|BOM539131
Cressanda Solutions Ltd|BOM512379
Crest Animation Studios Ltd|BOM526785
Crest Ventures Limited|BOM511413
Crestchem Ltd|BOM526269
Crew B.o.s.products Ltd|BOM532542
Crimson Metal Engineering Company Ltd|BOM526977
Crisil Ltd|BOM500092
Crompton Greaves Ltd|BOM500093
Crown Tours Ltd|BOM538521
Csl Finance Ltd|BOM530067
Css Technergy Ltd|BOM590050
Ctil Ltd|BOM532363
Cubex Tubings Ltd|BOM526027
Cubical Financial Services Ltd|BOM511710
Cummins India Ltd|BOM500480
Cupid Ltd.-$|BOM530843
Cupid Trades & Finance Ltd|BOM512361
Cura Technologies Ltd|BOM532332
Cybele Industries Ltd|BOM531472
Cyber Media (india) Ltd|BOM532640
Cybermate Infotek Ltd|BOM532271
Cyberscape Multimedia Ltd|BOM532364
Cybertech Systems And Software Ltd|BOM532173
Cyient Limited|BOM532175
D B Corp Ltd|BOM533151
D B Realty Ltd|BOM533160
D&h India Ltd-$|BOM517514
D-link (india) Ltd|BOM533146
D.s.kulkarni Developers Ltd|BOM523890
Dabur India Ltd|BOM500096
Dai-ichi Karkaria Ltd.-$|BOM526821
Daikaffil Chemicals India Ltd|BOM530825
Dalal Street Investments Ltd|BOM501148
Dalmia Bharat Ltd|BOM533309
Dalmia Bharat Sugar And Industries Ltd|BOM500097
Damodar Industries Ltd.-$|BOM521220
Danlaw Technologies India Ltd.-$|BOM532329
Datamatics Global Services Ltd|BOM532528
Datasoft Application Software (india) Ltd|BOM526443
Daulat Securities Ltd|BOM530171
Dazzel Confindive Ltd|BOM531270
Db (international) Stock Brokers Ltd|BOM530393
Dcb Bank Limited|BOM532772
Dcm Financial Services Ltd|BOM511611
Dcm Ltd|BOM502820
Dcm Shriram Industries Ltd.-$|BOM523369
Dcm Shriram Limited|BOM523367
Dcw Ltd|BOM500117
De Nora India Ltd|BOM590031
Deccan Bearings Ltd|BOM505703
Deccan Cements Ltd.-$|BOM502137
Deccan Chronicle Holdings Ltd|BOM532608
Deccan Gold Mines Ltd|BOM512068
Deccan Polypacks Ltd|BOM531989
Decillion Finance Ltd|BOM539190
Deco-mica Ltd|BOM531227
Decolight Ceramics Ltd|BOM532858
Decorous Investment & Trading Co Ltd|BOM539405
Dee Kartavya Finance Ltd|BOM531826
Deep Industries Ltd|BOM532760
Deepak Fertilisers & Petrochemicals Corporation Ltd|BOM500645
Deepak Nitrite Ltd.-$|BOM506401
Deepak Spinners Ltd.-$|BOM514030
Delma Infrastructure Limited|BOM512121
Delta Corp Ltd|BOM532848
Delta Leasing & Finance Ltd|BOM535486
Delta Magnets Ltd|BOM504286
Delton Cables Ltd|BOM504240
Deltron Ltd|BOM504256
Den Networks Ltd|BOM533137
Dena Bank|BOM532121
Denis Chem Lab Ltd|BOM537536
Desh Rakshak Aushdhalaya Ltd|BOM531521
Deutsche Mutual Fund - Dws Fixed Term Series 50 - Plan A - Growth Option|BOM533002
Deutsche Mutual Fund - Dws Fixed Term Series 50 - Plan B - Growth Option|BOM533004
Devhari Exports (india) Ltd|BOM539197
Devika Proteins Ltd|BOM531171
Devine Impex Ltd|BOM531585
Devinsu Trading Ltd|BOM512445
Devki Leasing & Finance Ltd|BOM530765
Dewan Housing Finance Corporation Ltd|BOM511072
Dfl Infrastructure Finance Ltd|BOM511393
Dfm Foods Ltd|BOM519588
Dhabriya Polywood Ltd|BOM538715
Dhampur Sugar Mills Ltd|BOM500119
Dhampure Speciality Sugars Ltd|BOM531923
Dhanada Corporation Ltd|BOM531198
Dhanalaxmi Roto Spinners Ltd|BOM521216
Dhanlaxmi Bank Limited|BOM532180
Dhanlaxmi Cotex Ltd|BOM512485
Dhanlaxmi Fabrics Ltd|BOM521151
Dhanleela Investments & Trading Company Ltd|BOM503637
Dhanuka Agritech Ltd|BOM507717
Dhanuka Commercial Ltd|BOM538446
Dhanus Technologies Ltd|BOM532903
Dhanvantri Jeevan Rekha Ltd|BOM531043
Dharamsi Morarji Chemical Co.ltd|BOM506405
Dharani Finance Ltd|BOM511451
Dharani Sugars & Chemicals Ltd|BOM507442
Dhenu Buildcon Infra Ltd|BOM501945
Dhoot Industrial Finance Ltd|BOM526971
Dhp India Ltd|BOM531306
Dhruv Estates Ltd|BOM507886
Dhruva Capital Services Ltd|BOM531237
Dhunseri Investments Ltd|BOM533336
Dhunseri Petrochem Limited-$|BOM523736
Dhunseri Tea & Industries Ltd|BOM538902
Dhyana Finstock Ltd|BOM538450
Diamant Infrastructure Limited|BOM508860
Diamines & Chemicals Ltd.-$|BOM500120
Diamond Infosystems Ltd|BOM530801
Diamond Power Infrastructure Limited-$|BOM522163
Diana Tea Co.ltd|BOM530959
Dic India Ltd|BOM500089
Digital Electronics Ltd|BOM503978
Digjam Ltd|BOM503796
Dil Ltd|BOM506414
Diligent Industries Ltd|BOM531153
Dion Global Solutions Ltd|BOM526927
Disa India Ltd|BOM500068
Dish Tv India Ltd|BOM532839
Dishman Pharmaceuticals & Chemicals Ltd|BOM532526
Divi's Laboratories Ltd|BOM532488
Divine Multimedia (india) Ltd|BOM523810
Divinus Fabrics Ltd|BOM538432
Divya Jyoti Industries Ltd|BOM526285
Divyashakti Granites Ltd|BOM526315
Djs Stock & Shares Ltd|BOM511636
Dlf Ltd|BOM532868
Dmc Education Ltd|BOM517973
Dolat Investments Ltd|BOM505526
Dollex Industries Ltd|BOM531367
Dolphin Medical Services Ltd|BOM526504
Dolphin Offshore Enterprises (india) Ltd.-$|BOM522261
Donear Industries Ltd.-$|BOM512519
Doon Valley Rice Ltd|BOM531226
Dot Com Global Ltd|BOM530391
Dq Entertainment (international) Ltd|BOM533176
Dr.agarwal's Eye Hospital Ltd.-$|BOM526783
Dr.datsons Labs Limited|BOM533412
Dr.reddy's Laboratories Ltd|BOM500124
Dredging Corporation Of India Ltd|BOM523618
Dsj Communications Ltd|BOM526677
Dsp Blackrock 3 Years Close Ended Equity Fund- Direct Plan - Growth|BOM538810
Dsp Blackrock 3 Years Close Ended Equity Fund-direct Plan - Dividend Payout|BOM538811
Dsp Blackrock 3 Years Close Ended Equity Fund-regular- Dividend Payout|BOM538809
Dsp Blackrock 3 Years Close Ended Equity Fund-regular- Growth|BOM538808
Ducon Infratechnologies Ltd|BOM534674
Dugar Housing Developments Ltd|BOM511634
Dujodwala Paper Chemical Ltd.-$|BOM524276
Duke Offshore Ltd|BOM531471
Duncans Industries Ltd|BOM590063
Dunlop India Ltd|BOM509130
Duropack Ltd|BOM526355
Dutron Polymers Ltd.-$|BOM517437
Dwarikesh Sugar Industries Ltd|BOM532610
Dynacons Systems & Solutions Ltd|BOM532365
Dynamatic Technologies Ltd.-$|BOM505242
Dynamic Industries Ltd.-$|BOM524818
Dynamic Portfolio Management & Services Ltd|BOM530779
Dynavision Ltd|BOM517238
Dynemic Products Ltd|BOM532707
E-land Apparel Limited|BOM532820
E.com Infotech (i) Ltd|BOM531533
E.i.d.-parry (india) Ltd|BOM500125
East Buildtech Ltd|BOM507917
East Coast Steel Ltd|BOM520081
Eastern Gases Ltd|BOM590080
Eastern Silk Industries Ltd|BOM590022
Eastern Sugar & Industries Ltd|BOM507528
Eastern Treads Ltd|BOM531346
Easun Reyrolle Ltd|BOM532751
Ece Industries Ltd.-$|BOM532491
Eclerx Services Ltd|BOM532927
Eco Friendly Food Processing Park Ltd|BOM534839
Eco Recycling Ltd|BOM530643
Ecoboard Industries Ltd|BOM523732
Econo Trade (india) Ltd|BOM538708
Ecoplast Ltd.-$|BOM526703
Edelweiss Financial Services Ltd|BOM532922
Edelweiss Mutual Fund - Edelweiss Exchange Traded Scheme - Nifty ( Nifty Ees )|BOM539142
Edserv Softsystems Ltd|BOM533055
Educomp Solutions Ltd|BOM532696
Eduexel Infotainment Limited|BOM526483
Edynamics Solutions Ltd|BOM535694
Effingo Textile & Trading Limited|BOM512207
Eicher Motors Ltd|BOM505200
Eicl Ltd.-$|BOM526560
Eih Associated Hotels Ltd.-$|BOM523127
Eih Ltd|BOM500840
Eimco Elecon (india) Ltd|BOM523708
Ekam Leasing & Finance Co.ltd|BOM530581
El Forge Ltd.-$|BOM531144
Elango Industries Ltd|BOM513452
Elantas Beck India Ltd.-$|BOM500123
Elcid Investments Ltd|BOM503681
Eldeco Housing & Industries Ltd|BOM523329
Elder Health Care Ltd|BOM524830
Elder Pharmaceuticals Ltd|BOM532322
Elder Projects Ltd|BOM524788
Elecon Engineering Co.ltd|BOM505700
Electrosteel Castings Ltd|BOM500128
Electrosteel Steels Ltd|BOM533264
Electrotherm (india) Ltd|BOM526608
Elegant Floriculture & Agrotech (india) Ltd|BOM526473
Elegant Marbles & Grani Industries Ltd|BOM526705
Elf Trading & Chemicals Manufacturing Ltd|BOM504387
Elgi Equipments Ltd|BOM522074
Elixir Capital Ltd|BOM531278
Ellenbarrie Industrial Gases Ltd|BOM590087
Elnet Technologies Ltd.-$|BOM517477
Elpro International Ltd|BOM504000
Ema India Ltd|BOM522027
Emami Infrastructure Ltd|BOM533218
Emami Ltd.-$|BOM531162
Emami Paper Mills Ltd|BOM533208
Emco Ltd.-$|BOM504008
Emed.com Technologies Ltd|BOM524588
Emerald Leasing Finance & Investment Company Ltd|BOM538882
Emgee Cables & Communications Ltd|BOM530333
Emkay Global Financial Services Ltd|BOM532737
Emmbi Industries Ltd|BOM533161
Emmessar Biotech & Nutrition Ltd|BOM524768
Emmsons International Ltd.-$|BOM532038
Empee Distilleries Ltd|BOM532920
Empee Sugars & Chemicals Ltd|BOM500132
Empire Industries Ltd|BOM509525
Emporis Projects Limited|BOM531470
Empower India Ltd|BOM504351
Enbee Trade & Finance Ltd|BOM512441
Encash Entertainment Ltd|BOM538684
Encore Software Ltd.-$|BOM531750
Energy Development Company Ltd|BOM532219
Engineers India Ltd|BOM532178
Enkei Wheels (india) Ltd|BOM533477
Ennore Coke Ltd|BOM512369
Ensa Steel Industries Ltd|BOM512135
Entegra Ltd|BOM532287
Enterprise International Ltd|BOM526574
Entertainment Network (india) Ltd|BOM532700
Envair Electrodyne Ltd|BOM500246
Eon Electric Ltd|BOM532658
Epc Industrie Ltd|BOM523754
Epic Energy Ltd.-$|BOM530407
Epsom Properties Ltd|BOM531155
Era Buildsys Limited|BOM531615
Era Infra Engineering Ltd.-$|BOM530323
Eros International Media Ltd|BOM533261
Erp Soft Systems Ltd|BOM530909
Esaar (india) Ltd|BOM531502
Esab India Ltd|BOM500133
Escorts Finance Ltd|BOM511716
Escorts Ltd|BOM500495
Esha Media Research Limited|BOM531259
Eskay K'n'it (india) Ltd|BOM514118
Esquire Money Guarantees Ltd|BOM512439
Ess Dee Aluminium Ltd|BOM532787
Essar Oil Ltd|BOM500134
Essar Ports Ltd|BOM500630
Essar Securities Ltd|BOM533149
Essar Shipping Ltd|BOM533704
Essel Propack Ltd|BOM500135
Esteem Bio Organic Food Processing Ltd|BOM534927
Ester Industries Ltd|BOM500136
Ett Ltd|BOM537707
Eureka Industries Ltd|BOM521137
Euro Ceramics Ltd|BOM532823
Euro Leder Fashion Ltd|BOM526468
Euro Multivision Ltd|BOM533109
Eurotex Industries & Exports Ltd|BOM521014
Eveready Industries India Ltd|BOM531508
Everest Industries Ltd|BOM508906
Everest Kanto Cylinder Ltd|BOM532684
Evergreen Textiles Limited|BOM514060
Everlon Synthetics Ltd|BOM514358
Everonn Education Ltd|BOM532876
Excel Castronics Limited|BOM526735
Excel Crop Care Ltd|BOM532511
Excel Glasses Ltd|BOM502223
Excel Industries Ltd|BOM500650
Excel Realty N Infra Ltd|BOM533090
Exdon Trading Co.ltd|BOM512017
Exelon Infrastructure Ltd|BOM530337
Exide Industries Ltd|BOM500086
Exotic Coal Ltd|BOM531320
Explicit Finance Ltd|BOM530571
Expo Gas Containers Ltd|BOM526614
Extol Commercial Ltd|BOM512163
Facor Alloys Ltd|BOM532656
Facor Steels Ltd|BOM532657
Fact Enterprise Ltd|BOM511668
Fag Bearings India Ltd|BOM505790
Fair Deal Filaments Ltd.-$|BOM514474
Falcon Tyres Ltd.-$|BOM509527
Farmax India Limited-$|BOM590094
Farry Industries Ltd|BOM531252
Fast Track Entertainment Ltd|BOM532084
Faze Three Ltd.-$|BOM530079
Fcs Software Solutions Ltd|BOM532666
Fdc Ltd|BOM531599
Fe (india) Ltd|BOM530863
Fedders Lloyd Corporation Ltd|BOM500139
Federal Bank Ltd|BOM500469
Federal-mogul Goetze (india) Ltd|BOM505744
Fenoplast Ltd.-$|BOM526689
Ferro Alloys Corporation Ltd|BOM500141
Fertilizers & Chemicals Travancore Ltd|BOM590024
Fervent Synergies Ltd|BOM533896
Fgp Ltd|BOM500142
Fiberweb (india) Ltd|BOM507910
Fiem Industries Ltd|BOM532768
Filatex Fashions Ltd|BOM532022
Filatex India Ltd.-$|BOM526227
Filmcity Media Ltd|BOM531486
Filtra Consultants And Engineers Ltd|BOM539098
Filtron Engineers Ltd|BOM531191
Finalysis Credit & Guarantee Co.ltd|BOM531820
Financial Technologies (india) Ltd|BOM526881
Finaventure Capital Ltd|BOM512219
Fine-line Circuits Ltd|BOM517264
Fineotex Chemical Ltd|BOM533333
Finkurve Financial Services Ltd|BOM508954
Finolex Cables Ltd|BOM500144
Finolex Industries Ltd|BOM500940
Fintech Communications Ltd|BOM531754
First Custodian Fund (india) Ltd|BOM511122
First Financial Services Ltd|BOM511369
First Leasing Co.of India Ltd|BOM500145
First Winner Industries Ltd|BOM532996
Firstobject Technologies Ltd|BOM532379
Firstsource Solutions Ltd|BOM532809
Fischer Chemic Ltd|BOM524743
Five X Finance & Investment Ltd|BOM536751
Flawless Diamond (india) Ltd|BOM523576
Flex Foods Ltd.-$|BOM523672
Flexituff International Ltd|BOM533638
Flora Textiles Ltd|BOM530705
Florence Investech Limited-$|BOM532518
Fluidomat Ltd|BOM522017
Focus Industrial Resources Ltd|BOM534757
Fomento Resorts & Hotels Ltd|BOM503831
Foods & Inns Ltd|BOM507552
Forbes & Company Ltd.-$|BOM502865
Force Motors Ltd.-$|BOM500033
Fortis Healthcare Ltd|BOM532843
Fortis Malar Hospitals Limited|BOM523696
Fortune Financial Services (india) Ltd|BOM530023
Fortune International Ltd|BOM530213
Foseco India Ltd|BOM500150
Foundry Fuel Products Ltd|BOM513579
Fourth Generation Information Systems Ltd|BOM532403
Fraser And Company Ltd|BOM539032
Fresenius Kabi Oncology Ltd|BOM532545
Freshtrop Fruits Ltd|BOM530077
Frontier Capital Ltd|BOM508980
Frontier Informatics Limited|BOM531225
Frontier Springs Ltd|BOM522195
Frontline Business Solutions Ltd|BOM521167
Frontline Securities Ltd|BOM533213
Fruition Venture Ltd|BOM538568
Fulford (india) Ltd.-$|BOM506803
Funny Software Ltd|BOM539169
Funworld & Tourism Development Ltd|BOM531854
Fusion Fittings (i) Ltd|BOM531760
Future Consumer Enterprise Limited|BOM533400
Future Enterprises Ltd|BOM523574
Future Enterprises Ltd|BOM570002
Future Lifestyle Fashions Ltd|BOM536507
Future Market Networks Ltd|BOM533296
Futuristic Securities Ltd|BOM523113
Futuristic Solutions Ltd|BOM534063
G-tech Info-training Ltd|BOM532139
G.d.trading & Agencies Ltd|BOM504346
G.g.dandekar Machine Works Ltd|BOM505250
G.k.consultants Ltd|BOM531758
G.m.breweries Ltd|BOM507488
G.s.auto International Ltd|BOM513059
Gabriel India Ltd.-$|BOM505714
Gaekwar Mills Ltd|BOM502850
Gagan Gases Ltd|BOM524624
Gagan Polycot India Ltd|BOM531196
Gail (india) Ltd|BOM532155
Gajanan Securities Services Ltd|BOM538609
Gajra Bevel Gears Ltd.-$|BOM505711
Gala Print City Ltd|BOM539228
Galada Finance Ltd|BOM538881
Galada Power & Telecommunication Ltd|BOM504697
Galaxy Agrico Exports Ltd|BOM531911
Galaxy Bearings Ltd|BOM526073
Galaxy Consolidated Finance Ltd|BOM511128
Galaxy Entertainment Corporation Ltd.-$|BOM506186
Gallantt Ispat Ltd|BOM533265
Gallantt Metal Ltd|BOM532726
Gamma Infoway Exalt Ltd|BOM517391
Gammon India Ltd|BOM509550
Gammon Infrastructure Projects Ltd|BOM532959
Gandhi Special Tubes Ltd.-$|BOM513108
Gandhinagar Hotels Ltd|BOM530237
Gandhinagar Leasing & Finance Ltd|BOM511489
Ganesh Benzoplast Ltd|BOM500153
Ganesh Holdings Ltd|BOM504397
Ganesh Housing Corporation Ltd.-$|BOM526367
Ganesha Ecosphere Ltd|BOM514167
Ganga Papers India Ltd|BOM531813
Gangotri Iron & Steel Company Ltd|BOM530945
Gangotri Textiles Ltd|BOM521176
Ganon Trading Finance Co.ltd|BOM512443
Garden Silk Mills Ltd|BOM500155
Garg Furnace Ltd|BOM530615
Garnet Construction Ltd|BOM526727
Garnet International Ltd|BOM512493
Garodia Chemicals Ltd|BOM530161
Garwarbbph|BOM536591
Garware Marine Industries Ltd|BOM509563
Garware Polyester Ltd|BOM500655
Garware Synthetics Ltd|BOM514400
Garware-wall Ropes Ltd|BOM509557
Gateway Distriparks Ltd|BOM532622
Gati Ltd|BOM532345
Gayatri Bioorganics Ltd|BOM524564
Gayatri Projects Ltd|BOM532767
Gayatri Sugars Ltd|BOM532183
Gayatri Tissue & Papers Ltd|BOM512479
Gcm Capital Advisors Ltd|BOM538319
Gcm Commodity & Derivatives Ltd|BOM535917
Gcm Securities Ltd|BOM535431
Gdl Leasing & Finance Ltd|BOM530855
Gee Gee Granites Ltd|BOM515097
Gee Ltd|BOM504028
Geecee Ventures Limited|BOM532764
Geefcee Finance Ltd|BOM530389
Gei Industrial Systems Ltd|BOM530743
Gem Spinners India Ltd|BOM521133
Gemini Communication Ltd|BOM532318
Gemmia Oiltech (india) Ltd|BOM511652
Gemstone Investments Ltd|BOM531137
Genera Agri Corp Ltd|BOM590133
Genesys International Corporation Ltd|BOM506109
Gennex Laboratories Ltd|BOM531739
Genomic Valley Biotech Ltd|BOM539206
Genus Commu-trade Ltd|BOM531939
Genus Paper & Boards Ltd|BOM538961
Genus Power Infrastructures Ltd.-$|BOM530343
Geodesic Ltd|BOM503699
Geojit Bnp Paribas Financial Services Ltd|BOM532285
Geometric Ltd|BOM532312
Geshipbbph|BOM536105
Gfl Financials India Limited|BOM531055
Ghcl Ltd|BOM500171
Gi Engineering Solutions Ltd|BOM533048
Gic Housing Finance Ltd|BOM511676
Gilada Finance & Investments Ltd|BOM538788
Gillanders Arbuthnot & Co.ltd|BOM532716
Gillette India Ltd|BOM507815
Gini Silk Mills Ltd.-$|BOM531744
Ginni Filaments Ltd|BOM590025
Girdharilal Sugar & Allied Industries Ltd|BOM507506
Gita Renewable Energy Ltd|BOM539013
Gitanjali Gems Ltd|BOM532715
Givo Ltd|BOM531613
Gkb Ophthalmics Ltd|BOM533212
Glance Finance Ltd|BOM531199
Glaxosmithkline Consumer Healthcare Ltd|BOM500676
Glaxosmithkline Pharmaceuticals Ltd|BOM500660
Glenmark Pharmaceuticals Ltd|BOM532296
Glittek Granites Ltd|BOM513528
Global Capital Markets Ltd|BOM530263
Global Infratech & Finance Limited|BOM531463
Global Land Masters Corporation Ltd|BOM531479
Global Offshore Services Ltd.-$|BOM501848
Global Securities Ltd|BOM530657
Global Vectra Helicorp Ltd|BOM532773
Globus Constructors & Developers Limited|BOM526025
Globus Corporation Ltd.-$|BOM531904
Globus Spirits Ltd|BOM533104
Glodyne Technoserve Ltd|BOM532672
Glory Polyfilms Ltd|BOM532857
Gloster Ltd|BOM538595
Gloster Ltd|BOM590085
