STOCK|CODE
Alphageo (india) Ltd.-$|BOM526397
Alpine Housing Development Corporation Ltd|BOM526519
Alps Industries Ltd|BOM530715
Alstom India Ltd|BOM532309
Alstom T&d India Ltd|BOM522275
Alstone Textiles (india) Ltd|BOM539277
Alufluoride Ltd|BOM524634
Amal Ltd|BOM506597
Amalgamated Electricity Co.ltd|BOM501622
Amani Trading & Exports Ltd|BOM512008
Amar Remedies Ltd|BOM532664
Amara Raja Batteries Ltd|BOM500008
Amarjothi Spinning Mills Ltd|BOM521097
Amarnath Securities Ltd|BOM538465
Amba Enterprises Ltd|BOM539196
Ambalal Sarabhai Enterprises Ltd|BOM500009
Ambica Agarbathies & Aroma Industries Ltd|BOM532335
Ambika Cotton Mills Ltd|BOM531978
Ambition Mica Ltd|BOM539223
Ambitious Plastomac Company Ltd|BOM526439
Ambuja Cements Ltd|BOM500425
Amco India Ltd.-$|BOM530133
Amd Industries Ltd|BOM532828
Amforge Industries Ltd|BOM513117
Amines & Plasticizers Ltd|BOM506248
Amit International Ltd|BOM531300
Amit Securities Ltd|BOM531557
Amit Spinning Industries Ltd|BOM521076
Amradeep Industries Ltd|BOM531681
Amrapali Capital And Finance Services Ltd|BOM536737
Amrapali Fincap Ltd|BOM539265
Amrapali Industries Ltd|BOM526241
Amraworld Agrico Ltd|BOM531991
Amrit Corp.ltd.-$|BOM507525
Amrutanjan Health Care Ltd.-$|BOM590006
Amsons Apparels Ltd|BOM538861
Amtek Auto Ltd.-$|BOM520077
Amulya Leasing & Finance Ltd|BOM531761
Anand Credit Ltd|BOM531678
Anand Projects Ltd|BOM501630
Anant Raj Limited-$|BOM515055
Ananthi Constructions Ltd|BOM526833
Anar Industries Ltd|BOM531127
Andhra Bank|BOM532418
Andhra Cements Ltd|BOM532141
Andhra Petrochemicals Ltd|BOM500012
Andhra Sugars Ltd|BOM590062
Andrew Yule & Company Ltd|BOM526173
Ang Industries Limited|BOM530721
Anik Industries Ltd|BOM519383
Anil Ltd|BOM532910
Anil Special Steel Industries Ltd.-$|BOM504629
Anisha Impex Ltd|BOM537785
Anjani Finance Ltd|BOM531878
Anjani Foods Ltd|BOM511153
Anjani Portland Cement Ltd.-$|BOM518091
Anjani Synthetics Ltd.-$|BOM531223
Anka India Ltd|BOM531673
Ankit Metal & Power Ltd|BOM532870
Ankush Finstock Ltd|BOM531519
Anna Infrastructures Ltd|BOM530799
Ans Industries Ltd|BOM531406
Ansal Buildwell Ltd.-$|BOM523007
Ansal Housing & Construction Ltd.-$|BOM507828
Ansal Properties & Infrastructure Ltd|BOM500013
Anshuni Commercials Ltd|BOM512091
Anshus Clothing Ltd|BOM534707
Anu's Laboratories Ltd|BOM532981
Anubhav Infrastructure Ltd|BOM538833
Anuh Pharma Ltd|BOM506260
Anukaran Commercial Enterprises Ltd|BOM512355
Anup Malleable Ltd|BOM506087
Apar Industries Ltd|BOM532259
Apcotex Industries Ltd|BOM523694
Apis India Ltd|BOM506166
Apl Apollo Tubes Ltd|BOM533758
Aplab Ltd.-$|BOM517096
Aplaya Creations Ltd|BOM511064
Apm Industries Ltd.-$|BOM523537
Apollo Finvest (india) Ltd|BOM512437
Apollo Hospitals Enterprise Ltd|BOM508869
Apollo Tyres Ltd|BOM500877
Apple Finance Ltd|BOM500014
Appu Marketing & Manufacturing Ltd|BOM538653
Apte Amalgamations Ltd|BOM507265
Aptech Ltd|BOM532475
Aptechbbph|BOM535790
Aqua Logistics Ltd|BOM533159
Aqua Pumps Infra Ventures Limited|BOM531364
Arambhan Hospitality Services Ltd|BOM539403
Aramusk Infrastructure Investments Ltd|BOM532068
Aravali Securities & Finance Ltd|BOM512344
Arcee Industries Ltd|BOM520121
Archana Software Ltd|BOM530565
Archidply Industries Ltd|BOM532994
Archies Ltd|BOM532212
Archit Organosys Ltd|BOM524640
Arco Leasing Ltd|BOM511038
Arcotech Ltd|BOM532914
Arcuttipore Tea Co.ltd|BOM530261
Ardi Investment & Trading Ltd|BOM504370
Arex Industries Ltd|BOM526851
Arfin India Ltd|BOM539151
Ari Consolidated Investments Ltd|BOM509110
Aries Agro Ltd|BOM532935
Arihant Avenues & Credit Ltd|BOM531553
Arihant Capital Markets Ltd|BOM511605
Arihant Foundations & Housing Ltd.-$|BOM531381
Arihant Superstructures Limited|BOM506194
Arihant Tournesol Ltd|BOM526125
Arihant's Securities Ltd|BOM531017
Aris International Ltd|BOM531677
Arman Financial Services Ltd|BOM531179
Arman Holdings Ltd|BOM538556
Arms Paper Ltd|BOM532397
Arnav Corporation Ltd|BOM531467
Arnold Holdings Ltd|BOM537069
Aro Granite Industries Ltd.-$|BOM513729
Aroma Enterprises (india) Ltd|BOM531560
Aroni Commercials Ltd.-$|BOM512273
Arora Fibres Ltd|BOM521174
Arrow Greentech Ltd|BOM516064
Arrow Textiles Ltd|BOM533068
Arshiya Limited|BOM506074
Arss Infrastructure Projects Ltd|BOM533163
Artech Power Products Ltd|BOM517481
Artefact Projects Ltd|BOM531297
Artson Engineering Ltd|BOM522134
Arvind Infrastructure Ltd|BOM539301
Arvind International Ltd.-$|BOM524760
Arvind Ltd|BOM500101
Arvind Remedies Ltd|BOM531823
Aryaman Capital Markets Ltd|BOM538716
Aryaman Financial Services Ltd|BOM530245
Asahi India Glass Ltd|BOM515030
Asahi Industries Limited|BOM514482
Asahi Infrastructure & Projects Ltd|BOM512535
Asahi Songwon Colors Ltd|BOM532853
Aseem Global Ltd|BOM534564
Ashapura Intimates Fashion Ltd|BOM535467
Ashapura Minechem Ltd|BOM527001
Ashco Niulab Industries Ltd.-$|BOM517565
Ashiana Agro Industries Ltd|BOM519174
Ashiana Housing Ltd.-$|BOM523716
Ashiana Ispat Ltd|BOM513401
Ashika Credit Capital Ltd|BOM590122
Ashima Ltd|BOM514286
Ashirwad Capital Ltd|BOM512247
Ashirwad Steels & Industries Ltd|BOM526847
Ashish Polyplast Ltd|BOM530429
Ashnoor Textile Mills Ltd|BOM507872
Ashok Alco-chem Ltd|BOM524594
Ashok Leyland Ltd|BOM500477
Ashoka Buildcon Ltd|BOM533271
Ashoka Refineries Ltd|BOM526983
Ashram Online.com Ltd|BOM526187
Ashutosh Paper Mills Ltd|BOM531568
Asia Capital Ltd|BOM538777
Asia Pack Ltd|BOM530899
Asian Electronics Ltd|BOM503940
Asian Flora Ltd|BOM531392
Asian Granito India Ltd|BOM532888
Asian Hotels (east) Ltd|BOM533227
Asian Hotels (north) Limited|BOM500023
Asian Hotels (west) Ltd|BOM533221
Asian Oilfield Services Ltd|BOM530355
Asian Paints Ltd|BOM500820
Asian Petroproducts & Exports Ltd|BOM524434
Asian Star Co.ltd.-$|BOM531847
Asian Tea & Exports Ltd.-$|BOM519532
Asis Logistics Limited|BOM506159
Asit C.mehta Financial Services Ltd|BOM530723
Asm Technologies Ltd|BOM526433
Assam Company (india) Limited|BOM500024
Associated Alcohols & Breweries Ltd|BOM507526
Associated Stone Industries (kotah) Ltd|BOM502015
Astec Lifesciences Limited|BOM533138
Astra Microwave Products Ltd|BOM532493
Astral Poly Technik Ltd|BOM532830
Astrazeneca Pharma India Ltd|BOM506820
Asya Infosoft Limited|BOM511144
Atharv Enterprises Ltd|BOM530187
Athena Constructions Ltd|BOM539099
Athena Global Technologies Ltd|BOM517429
Atishay Ltd|BOM538713
Atlanta Devcon Limited|BOM526843
Atlanta Infrastructure And Finance Ltd|BOM530479
Atlanta Ltd|BOM532759
Atlas Cycles (haryana) Ltd|BOM505029
Atlas Jewellery India Limited|BOM514394
Atn International Ltd|BOM511427
Atul Auto Ltd.-$|BOM531795
Atul Ltd|BOM500027
Atv Projects India Ltd|BOM500028
Aunde India Limited-$|BOM532459
Aurangabad Paper Mills Ltd|BOM502352
Aurionpro Solutions Ltd|BOM532668
Auro Laboratories Ltd|BOM530233
Aurobindo Pharma Ltd|BOM524804
Auroma Coke Ltd|BOM531336
Aurum Soft Systems Limited|BOM530885
Ausom Enterprise Limited|BOM509009
Austin Engineering Co.ltd|BOM522005
Austral Coke & Projects Ltd|BOM533016
Authum Investment & Infrastucture Ltd|BOM539177
Autoline Industries Ltd|BOM532797
Autolite (india) Ltd|BOM500029
Automobile Corporation Of Goa Ltd.-$|BOM505036
Automotive Axles Ltd|BOM505010
Automotive Stampings & Assemblies Ltd|BOM520119
Autoriders Finance Ltd|BOM500030
Autoriders International Ltd|BOM512277
Available Finance Ltd|BOM531310
Avance Technologies Ltd|BOM512149
Avantel Ltd|BOM532406
Avanti Feeds Ltd.-$|BOM512573
Avi Photochem Ltd|BOM523896
Avi Polymers Ltd|BOM539288
Aviva Industries Ltd|BOM512109
Avon Corporation Ltd|BOM532995
Avon Lifesciences Ltd-$|BOM531541
Avonmore Capital & Management Services Limited|BOM511589
Avt Natural Products Ltd|BOM519105
Avtil Enterprise Ltd|BOM504390
Axel Polymers Ltd|BOM513642
Axis Bank Ltd|BOM532215
Axiscades Engineering Technologies Ltd|BOM532395
Axon Ventures Ltd|BOM505506
Axtel Industries Ltd|BOM523850
Aym Syntex Ltd|BOM508933
Ayoki Mercantile Ltd|BOM512063
Azure Exim Services Ltd|BOM531783
B & A Ltd|BOM508136
B&a Packaging India Limited|BOM523186
B&b Realty Limited|BOM506971
B. P. Capital Ltd|BOM536965
B.a.g.films & Media Ltd|BOM532507
B.c. Power Controls Ltd|BOM537766
B.l.kashyap And Sons Ltd|BOM532719
B.n.rathi Securities Ltd|BOM523019
B.nanji Enterprises Ltd|BOM526594
B2b Software Technologies Ltd|BOM531268
BSE 100|BSE100
BSE 200|BSE200
BSE 500 Shariah|SPBSE5S
BSE 500|BSE500
BSE AUTO|SI1900
BSE AllCap|SPBSAIP
BSE BANKEX|SIBANK
BSE Basic Materials|SPBSBMIP
BSE CAPITAL GOODS|SI0200
BSE CARBONEX|CARBON
BSE CONSUMER DURABLES|SI0400
BSE CPSE|CPSE
BSE Consumer Discretionary Goods and Services|SPBSCDIP
BSE DOLLEX 100|DOL100
BSE DOLLEX 200|DOLLEX
BSE DOLLEX 30|DOLL30
BSE Dividend Stability Index|SPBSDSIP
BSE Energy|SPBSENIP
BSE Enhanced Value Index|SPBSEVIP
BSE Fast Moving Consumer Goods|SI0600
BSE Finance|SPBSFIIP
BSE GREENEX|GREENX
BSE Healthcare|SI0800
BSE IPO|IPO
BSE India 10 Year Sovereign Bond|SPBDISBT
BSE India Infrastructure Index|INFRA
BSE India Manufacturing Index|SPBIMIP
BSE Industrials|SPBSIDIP
BSE Information Technology|SI1000
BSE LargeCap|SPBSLIP
BSE LargeMidCap|SPBSLMIP
BSE Low Volatility Index|SPBSLVIP
BSE METAL|SI1200
BSE MidCap Select Index|SPBMDSIP
BSE MidCap|BSEMID
BSE MidSmallCap|SPBSMSIP
BSE Momentum Index|SPBSMOIP
BSE OIL and GAS|SI1400
BSE POWER|SIPOWE
BSE PSU|SIBPSU
BSE Quality Index|SPBSQIP
BSE REALTY|SIREAL
BSE SENSEX Dynamic Gold Hedged Index|SPBSDGDH
BSE SENSEX Gold Hedged Index|SPBSGLDH
BSE SENSEX|SENSEX
BSE SME IPO|SMEIPO
BSE SmallCap Select Index|SPBSSSIP
BSE SmallCap|BSESML
BSE TECK|SIBTEC
BSE Telecom|SPBSTLIP
BSE Utilities|SPBSUTIP
Baba Arts Ltd.-$|BOM532380
Bacil Pharma Ltd|BOM524516
Bafna Pharmaceuticals Ltd|BOM532989
Bagadia Colourchem Ltd|BOM530197
